SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
206031115,366,375,740,0,7,9,0,0,0,222,347,566,11,3,13,872,723,1598,26,75,104,3,0,3,25,3,30,173,87,264,10,14,26,96,112,210,1808,1751,3560
206031116,486,507,996,19,34,55,0,0,0,166,249,414,6,4,12,2069,1646,3711,85,180,262,27,0,27,43,14,55,151,44,188,33,17,54,152,161,317,3227,2859,6087
206041117,99,102,200,61,64,127,0,0,5,539,631,1167,10,4,12,700,496,1190,48,65,114,6,0,9,18,11,30,249,160,411,18,17,36,872,934,1801,2613,2482,5097
206041118,121,114,237,17,21,37,0,0,0,849,785,1636,6,10,15,830,479,1304,39,82,120,3,0,3,25,4,32,49,25,80,39,9,43,879,551,1430,2856,2075,4933
206041119,64,72,138,17,28,44,0,0,0,165,190,359,8,5,18,431,370,800,20,45,60,0,0,0,8,0,10,68,37,106,14,15,25,419,401,815,1217,1169,2389
206041120,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,16,16,32
206041121,730,744,1479,33,90,126,0,0,0,34,52,88,10,9,14,1229,1107,2333,52,110,162,14,0,14,31,4,40,279,140,416,29,12,37,122,179,300,2574,2448,5015
206041122,672,670,1345,134,112,242,3,0,3,1866,1910,3772,30,32,62,839,496,1333,54,101,161,0,0,0,39,9,51,174,50,225,56,25,81,3123,2601,5724,6993,6012,13009
206041123,290,281,573,53,66,123,0,0,0,712,833,1544,22,25,49,1292,1002,2293,62,129,187,7,0,7,49,11,61,347,198,546,49,32,77,1197,1196,2396,4091,3769,7857
206041124,79,77,159,14,9,24,0,0,0,215,260,477,7,8,17,474,431,910,26,48,76,0,0,0,12,0,11,165,125,289,12,8,22,254,306,560,1252,1279,2539
206041125,74,78,151,15,25,34,0,0,0,284,320,599,10,9,17,570,506,1073,25,42,69,0,0,0,30,0,31,118,59,180,17,10,25,237,296,534,1376,1344,2721
